,google,segment
2016-01-30,1.1837668485791726,8
2016-01-31,1.310599010926941,8
2016-02-01,1.310599010926941,8
2016-02-02,1.2683216234776848,8
2016-02-03,1.1837668485791726,8
2016-02-04,1.310599010926941,8
2016-02-05,1.1414894611299164,8
2016-02-06,1.2683216234776848,8
2016-02-07,1.2260442360284287,8
2016-02-08,1.352876398376197,8
2016-02-09,1.2260442360284287,8
2016-02-10,1.2260442360284287,8
2016-02-11,1.352876398376197,8
2016-02-12,1.352876398376197,8
2016-02-13,1.2260442360284287,8
2016-02-14,1.310599010926941,8
2016-02-15,1.4374311732747096,8
2016-02-16,1.4374311732747096,8
2016-02-17,1.5219859481732219,8
2016-02-18,1.6488181105209905,8
2016-02-19,1.4374311732747096,8
2016-02-20,1.5219859481732219,8
2016-02-21,1.4797085607239655,8
2016-02-22,1.4374311732747096,8
2016-02-23,1.4797085607239655,8
2016-02-24,1.352876398376197,8
2016-02-25,1.352876398376197,8
2016-02-26,1.2683216234776848,8
